RSM UK Pension Fund - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2025

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2026,4.17,0.43,0.21,4.81
2027,4.41,0.49,0.19,5.09
2028,4.40,0.41,0.22,5.02
2029,4.59,0.49,0.24,5.31
2030,4.64,0.43,0.19,5.26
2031,4.54,0.49,0.20,5.23
2032,4.69,0.46,0.23,5.38
2033,4.51,0.42,0.18,5.11
2034,4.88,0.48,0.18,5.54
2035,4.97,0.45,0.20,5.63
2036,5.04,0.43,0.23,5.69
2037,5.12,0.45,0.24,5.80
2038,4.96,0.41,0.20,5.57
2039,4.90,0.44,0.21,5.55
2040,5.18,0.44,0.21,5.83
2041,5.17,0.45,0.20,5.83
2042,5.46,0.48,0.18,6.12
2043,5.26,0.41,0.19,5.86
2044,5.23,0.44,0.19,5.86
2045,5.33,0.44,0.21,5.98
