RSM UK Pension Fund - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2021

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2022,4.02,0.40,0.17,4.60
2023,4.18,0.38,0.19,4.76
2024,4.06,0.41,0.19,4.66
2025,4.29,0.44,0.17,4.91
2026,4.45,0.43,0.23,5.11
2027,4.21,0.46,0.22,4.90
2028,4.59,0.44,0.20,5.23
2029,4.31,0.42,0.17,4.89
2030,4.50,0.44,0.22,5.16
2031,4.45,0.44,0.22,5.11
2032,4.67,0.48,0.18,5.33
2033,4.70,0.48,0.22,5.40
2034,4.87,0.43,0.18,5.48
2035,4.83,0.43,0.23,5.49
2036,4.90,0.41,0.21,5.52
2037,4.97,0.40,0.19,5.56
2038,5.07,0.44,0.21,5.72
2039,5.19,0.48,0.21,5.88
2040,4.99,0.39,0.22,5.60
2041,5.03,0.46,0.22,5.71
