RSM UK Pension Fund - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2023

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2024,4.01,0.47,0.18,4.65
2025,4.39,0.43,0.20,5.02
2026,4.45,0.49,0.19,5.13
2027,4.23,0.49,0.22,4.94
2028,4.51,0.40,0.18,5.09
2029,4.28,0.47,0.18,4.93
2030,4.65,0.42,0.22,5.29
2031,4.45,0.43,0.20,5.09
2032,4.58,0.42,0.17,5.17
2033,4.91,0.46,0.22,5.58
2034,4.60,0.48,0.18,5.26
2035,4.99,0.43,0.21,5.63
2036,4.97,0.43,0.20,5.60
2037,4.79,0.46,0.20,5.46
2038,4.95,0.44,0.19,5.58
2039,5.02,0.42,0.19,5.63
2040,5.09,0.47,0.20,5.76
2041,5.18,0.41,0.19,5.78
2042,5.36,0.47,0.18,6.00
2043,5.27,0.42,0.20,5.89
