RSM UK Pension Fund - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2022

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2023,4.19,0.42,0.22,4.83
2024,4.01,0.48,0.18,4.67
2025,4.17,0.47,0.18,4.82
2026,4.42,0.46,0.21,5.08
2027,4.40,0.48,0.22,5.10
2028,4.37,0.42,0.22,5.01
2029,4.51,0.49,0.20,5.20
2030,4.57,0.43,0.23,5.23
2031,4.49,0.42,0.19,5.11
2032,4.78,0.48,0.20,5.45
2033,4.67,0.45,0.19,5.31
2034,4.82,0.41,0.21,5.44
2035,4.72,0.41,0.19,5.32
2036,4.90,0.40,0.19,5.49
2037,5.11,0.42,0.21,5.74
2038,4.88,0.48,0.23,5.58
2039,5.13,0.44,0.21,5.79
2040,5.08,0.47,0.18,5.73
2041,5.38,0.45,0.21,6.04
2042,5.28,0.42,0.17,5.88
