BDO Pension Fund - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2022

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2023,7.57,0.85,0.34,8.76
2024,7.46,0.77,0.34,8.58
2025,7.56,0.84,0.35,8.74
2026,8.02,0.86,0.36,9.23
2027,7.93,0.84,0.38,9.15
2028,8.03,0.81,0.38,9.23
2029,8.39,0.79,0.36,9.54
2030,8.21,0.78,0.38,9.37
2031,8.55,0.76,0.36,9.68
2032,8.39,0.84,0.34,9.57
2033,8.69,0.83,0.40,9.92
2034,8.62,0.80,0.38,9.80
2035,8.83,0.80,0.38,10.01
2036,9.20,0.81,0.35,10.36
2037,9.26,0.83,0.37,10.46
2038,9.19,0.85,0.38,10.42
2039,9.33,0.81,0.34,10.49
2040,9.33,0.83,0.35,10.50
2041,9.57,0.81,0.34,10.72
2042,9.52,0.78,0.35,10.65
