BDO Pension Fund - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2025

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2026,7.59,0.80,0.41,8.80
2027,7.96,0.88,0.38,9.21
2028,8.05,0.79,0.37,9.21
2029,8.30,0.84,0.41,9.54
2030,8.26,0.83,0.35,9.44
2031,8.51,0.85,0.36,9.72
2032,8.65,0.84,0.40,9.89
2033,8.72,0.86,0.41,9.98
2034,8.94,0.81,0.38,10.13
2035,8.74,0.82,0.40,9.97
2036,9.08,0.86,0.38,10.33
2037,9.16,0.86,0.35,10.37
2038,9.04,0.85,0.40,10.30
2039,9.39,0.81,0.36,10.56
2040,9.62,0.87,0.40,10.89
2041,9.75,0.83,0.36,10.93
2042,9.82,0.84,0.36,11.02
2043,9.93,0.86,0.37,11.16
2044,9.81,0.86,0.35,11.02
2045,10.04,0.89,0.35,11.28
