BDO Pension Fund - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2024

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2025,7.43,0.80,0.39,8.62
2026,7.67,0.79,0.35,8.81
2027,8.01,0.80,0.35,9.16
2028,7.90,0.87,0.39,9.16
2029,7.94,0.79,0.40,9.14
2030,8.30,0.83,0.37,9.49
2031,8.19,0.84,0.37,9.40
2032,8.37,0.80,0.36,9.53
2033,8.41,0.82,0.35,9.58
2034,8.54,0.84,0.39,9.77
2035,8.89,0.85,0.35,10.10
2036,8.94,0.78,0.39,10.11
2037,9.14,0.87,0.36,10.38
2038,9.21,0.87,0.36,10.43
2039,9.15,0.80,0.38,10.32
2040,9.46,0.79,0.40,10.65
2041,9.49,0.87,0.40,10.76
2042,9.69,0.85,0.40,10.94
2043,9.90,0.85,0.40,11.14
2044,9.85,0.83,0.35,11.03
