BDO Pension Fund - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2023

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2024,7.43,0.84,0.35,8.62
2025,7.59,0.85,0.37,8.81
2026,7.70,0.83,0.38,8.92
2027,7.84,0.79,0.35,8.99
2028,8.20,0.87,0.39,9.46
2029,8.40,0.84,0.39,9.64
2030,8.38,0.80,0.36,9.54
2031,8.45,0.86,0.38,9.69
2032,8.58,0.79,0.38,9.74
2033,8.62,0.87,0.36,9.85
2034,8.78,0.82,0.39,10.00
2035,8.89,0.81,0.40,10.10
2036,9.24,0.83,0.38,10.46
2037,9.34,0.87,0.39,10.60
2038,9.29,0.85,0.40,10.53
2039,9.43,0.85,0.38,10.66
2040,9.62,0.79,0.39,10.80
2041,9.82,0.83,0.35,11.00
2042,9.94,0.80,0.35,11.10
2043,10.04,0.80,0.40,11.24
