Thames Water UPS (Closed Section) - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2024

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2025,9.45,1.00,0.50,10.95
2026,9.66,1.08,0.45,11.19
2027,9.75,0.99,0.45,11.20
2028,10.12,1.00,0.48,11.61
2029,9.95,1.02,0.45,11.42
2030,10.09,1.06,0.46,11.62
2031,10.53,1.01,0.49,12.03
2032,10.45,1.05,0.48,11.98
2033,10.68,1.03,0.46,12.17
2034,10.76,1.01,0.49,12.26
2035,10.94,1.00,0.48,12.42
2036,11.06,1.04,0.45,12.55
2037,11.48,1.01,0.46,12.95
2038,11.38,1.08,0.50,12.96
2039,11.65,1.00,0.46,13.11
2040,11.63,1.03,0.49,13.15
2041,11.79,1.08,0.48,13.35
2042,11.96,1.00,0.45,13.42
2043,12.40,1.04,0.47,13.92
2044,12.20,1.02,0.48,13.71
