Thames Water UPS (Closed Section) - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2022

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2023,9.43,1.04,0.43,10.90
2024,9.59,0.99,0.44,11.02
2025,9.65,0.97,0.48,11.10
2026,9.90,1.05,0.47,11.42
2027,10.03,0.98,0.46,11.47
2028,10.01,1.04,0.43,11.49
2029,10.33,0.98,0.43,11.74
2030,10.21,0.99,0.44,11.64
2031,10.50,0.96,0.48,11.94
2032,10.72,1.01,0.45,12.18
2033,10.82,0.97,0.44,12.23
2034,10.89,1.05,0.45,12.39
2035,11.09,1.06,0.47,12.62
2036,11.08,1.03,0.48,12.59
2037,11.21,0.99,0.47,12.67
2038,11.62,0.97,0.45,13.03
2039,11.53,1.00,0.46,12.99
2040,11.87,1.06,0.45,13.38
2041,11.79,1.00,0.44,13.23
2042,12.16,1.00,0.45,13.61
