Thames Water UPS (Closed Section) - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2021

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2022,9.23,0.95,0.46,10.64
2023,9.54,1.01,0.47,11.01
2024,9.46,0.99,0.44,10.88
2025,9.74,0.99,0.47,11.21
2026,9.94,0.98,0.43,11.35
2027,9.92,0.95,0.47,11.35
2028,10.11,1.01,0.45,11.57
2029,10.22,1.00,0.43,11.64
2030,10.34,1.02,0.46,11.82
2031,10.58,1.01,0.43,12.02
2032,10.63,1.00,0.45,12.08
2033,10.93,1.02,0.44,12.39
2034,11.16,1.00,0.47,12.63
2035,11.05,0.98,0.43,12.45
2036,11.33,1.00,0.45,12.78
2037,11.39,0.95,0.48,12.82
2038,11.48,1.01,0.47,12.97
2039,11.79,0.98,0.46,13.23
2040,11.87,1.00,0.47,13.35
2041,12.11,1.00,0.48,13.59
