Thames Water UPS (Closed Section) - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2025

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2026,9.84,1.02,0.49,11.35
2027,9.73,1.05,0.48,11.27
2028,10.14,1.06,0.48,11.68
2029,10.00,1.05,0.49,11.55
2030,10.36,1.07,0.48,11.91
2031,10.35,1.06,0.47,11.88
2032,10.76,1.09,0.50,12.36
2033,10.77,1.06,0.49,12.32
2034,11.04,1.07,0.47,12.58
2035,11.01,1.03,0.50,12.55
2036,11.32,1.07,0.50,12.89
2037,11.39,1.03,0.51,12.92
2038,11.76,1.10,0.50,13.35
2039,11.85,1.04,0.45,13.35
2040,11.85,1.08,0.50,13.42
2041,12.05,1.04,0.51,13.60
2042,12.26,1.04,0.45,13.75
2043,12.49,1.04,0.49,14.02
2044,12.42,1.07,0.48,13.96
2045,12.83,1.04,0.48,14.34
