Spirax-Sarco Engineering Pension Plan - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2025

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2026,6.11,0.66,0.31,7.08
2027,6.22,0.66,0.29,7.18
2028,6.00,0.61,0.29,6.89
2029,6.20,0.61,0.27,7.08
2030,6.50,0.65,0.30,7.45
2031,6.36,0.69,0.30,7.34
2032,6.46,0.66,0.30,7.42
2033,6.48,0.68,0.30,7.47
2034,6.64,0.64,0.29,7.57
2035,6.67,0.65,0.31,7.63
2036,6.98,0.68,0.32,7.97
2037,6.97,0.64,0.29,7.89
2038,6.89,0.60,0.30,7.79
2039,7.26,0.69,0.27,8.22
2040,7.20,0.63,0.29,8.12
2041,7.42,0.65,0.30,8.37
2042,7.52,0.62,0.29,8.43
2043,7.59,0.60,0.28,8.47
2044,7.79,0.68,0.29,8.76
2045,7.86,0.61,0.32,8.79
