Spirax-Sarco Engineering Pension Plan - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2021

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2022,5.54,0.65,0.26,6.45
2023,5.97,0.64,0.30,6.91
2024,6.00,0.57,0.25,6.82
2025,5.93,0.57,0.26,6.76
2026,6.08,0.62,0.25,6.95
2027,6.06,0.65,0.27,6.98
2028,6.38,0.65,0.27,7.30
2029,6.13,0.65,0.29,7.06
2030,6.45,0.65,0.29,7.40
2031,6.60,0.63,0.29,7.53
2032,6.49,0.62,0.29,7.39
2033,6.49,0.61,0.27,7.38
2034,6.70,0.63,0.26,7.60
2035,6.83,0.63,0.30,7.76
2036,6.91,0.62,0.31,7.83
2037,6.97,0.65,0.29,7.91
2038,7.21,0.66,0.26,8.13
2039,7.18,0.61,0.25,8.04
2040,7.38,0.64,0.26,8.28
2041,7.30,0.64,0.30,8.23
