Spirax-Sarco Engineering Pension Plan - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2024

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2025,5.72,0.65,0.32,6.69
2026,6.14,0.62,0.28,7.05
2027,6.01,0.67,0.28,6.97
2028,6.06,0.60,0.29,6.95
2029,6.32,0.64,0.28,7.25
2030,6.21,0.65,0.32,7.18
2031,6.54,0.60,0.28,7.43
2032,6.35,0.62,0.27,7.23
2033,6.74,0.66,0.26,7.66
2034,6.85,0.66,0.30,7.82
2035,6.87,0.62,0.29,7.78
2036,6.82,0.63,0.30,7.76
2037,6.98,0.68,0.28,7.94
2038,7.28,0.66,0.29,8.23
2039,7.10,0.68,0.32,8.10
2040,7.12,0.59,0.28,7.99
2041,7.30,0.61,0.26,8.17
2042,7.28,0.60,0.29,8.18
2043,7.65,0.59,0.28,8.52
2044,7.50,0.63,0.30,8.42
