Spirax-Sarco Engineering Pension Plan - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2022

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2023,5.93,0.61,0.27,6.81
2024,5.71,0.65,0.28,6.64
2025,6.05,0.58,0.27,6.90
2026,6.15,0.61,0.29,7.05
2027,6.15,0.59,0.26,7.01
2028,6.06,0.64,0.29,6.99
2029,6.26,0.66,0.28,7.20
2030,6.61,0.63,0.26,7.50
2031,6.33,0.64,0.31,7.28
2032,6.41,0.62,0.27,7.30
2033,6.83,0.58,0.30,7.70
2034,6.92,0.66,0.26,7.84
2035,6.84,0.60,0.27,7.70
2036,6.80,0.63,0.30,7.74
2037,7.24,0.66,0.26,8.16
2038,7.22,0.58,0.30,8.10
2039,7.14,0.62,0.28,8.03
2040,7.24,0.62,0.30,8.16
2041,7.30,0.59,0.29,8.18
2042,7.43,0.63,0.28,8.33
