University of Reading Pension Scheme - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2022

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2023,3.56,0.36,0.20,4.11
2024,3.38,0.39,0.18,3.95
2025,3.40,0.35,0.16,3.90
2026,3.55,0.36,0.16,4.06
2027,3.70,0.34,0.18,4.21
2028,3.78,0.36,0.15,4.29
2029,3.57,0.36,0.17,4.10
2030,3.71,0.34,0.18,4.22
2031,4.01,0.41,0.18,4.61
2032,4.02,0.38,0.14,4.54
2033,4.00,0.35,0.18,4.53
2034,3.90,0.32,0.17,4.39
2035,4.07,0.33,0.15,4.54
2036,3.93,0.36,0.17,4.46
2037,4.19,0.37,0.15,4.72
2038,4.02,0.38,0.16,4.56
2039,4.21,0.34,0.18,4.73
2040,4.47,0.39,0.15,5.01
2041,4.22,0.36,0.15,4.74
2042,4.58,0.40,0.14,5.12
