University of Reading Pension Scheme - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2023

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2024,3.42,0.35,0.17,3.94
2025,3.45,0.39,0.14,3.98
2026,3.52,0.37,0.14,4.02
2027,3.59,0.39,0.15,4.13
2028,3.53,0.32,0.16,4.01
2029,3.78,0.32,0.16,4.26
2030,3.88,0.34,0.17,4.39
2031,3.93,0.34,0.19,4.46
2032,3.77,0.35,0.18,4.30
2033,3.74,0.36,0.15,4.25
2034,3.82,0.32,0.17,4.31
2035,3.91,0.34,0.19,4.45
2036,4.14,0.38,0.19,4.71
2037,4.21,0.37,0.16,4.73
2038,4.23,0.36,0.16,4.75
2039,4.12,0.42,0.14,4.68
2040,4.33,0.33,0.16,4.83
2041,4.20,0.41,0.14,4.75
2042,4.43,0.37,0.17,4.96
2043,4.57,0.40,0.16,5.14
