University of Reading Pension Scheme - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2024

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2025,3.31,0.38,0.18,3.88
2026,3.66,0.36,0.17,4.19
2027,3.47,0.39,0.14,4.00
2028,3.55,0.36,0.16,4.07
2029,3.77,0.34,0.15,4.26
2030,3.83,0.40,0.18,4.41
2031,3.61,0.42,0.17,4.20
2032,3.93,0.36,0.19,4.49
2033,3.88,0.38,0.18,4.44
2034,4.00,0.42,0.19,4.61
2035,3.84,0.40,0.20,4.44
2036,3.98,0.34,0.14,4.47
2037,3.94,0.39,0.17,4.50
2038,4.13,0.42,0.20,4.74
2039,4.34,0.38,0.17,4.88
2040,4.29,0.37,0.15,4.81
2041,4.14,0.36,0.18,4.68
2042,4.39,0.37,0.16,4.92
2043,4.37,0.40,0.16,4.94
2044,4.60,0.41,0.17,5.18
