University of Reading Pension Scheme - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2021

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2022,3.39,0.31,0.15,3.85
2023,3.40,0.37,0.18,3.96
2024,3.59,0.39,0.16,4.13
2025,3.28,0.35,0.19,3.83
2026,3.45,0.33,0.14,3.92
2027,3.64,0.35,0.15,4.15
2028,3.69,0.39,0.15,4.23
2029,3.89,0.33,0.14,4.37
2030,3.92,0.32,0.14,4.38
2031,3.80,0.41,0.15,4.36
2032,3.75,0.39,0.16,4.29
2033,3.85,0.32,0.17,4.34
2034,3.80,0.40,0.15,4.35
2035,3.87,0.34,0.18,4.39
2036,3.90,0.35,0.16,4.40
2037,4.28,0.31,0.15,4.74
2038,4.31,0.36,0.14,4.81
2039,4.24,0.31,0.16,4.71
2040,4.29,0.35,0.19,4.84
2041,4.44,0.33,0.18,4.95
