Renishaw plc Pension Scheme - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2024

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2025,7.11,0.72,0.35,8.18
2026,7.03,0.73,0.36,8.13
2027,7.26,0.79,0.32,8.37
2028,7.21,0.76,0.36,8.33
2029,7.37,0.75,0.32,8.44
2030,7.47,0.75,0.32,8.54
2031,7.48,0.75,0.35,8.58
2032,7.84,0.72,0.36,8.93
2033,7.91,0.78,0.32,9.00
2034,7.99,0.70,0.34,9.03
2035,8.10,0.76,0.37,9.23
2036,8.09,0.73,0.33,9.14
2037,8.22,0.73,0.34,9.28
2038,8.50,0.71,0.34,9.55
2039,8.54,0.73,0.36,9.62
2040,8.72,0.71,0.33,9.76
2041,8.74,0.70,0.37,9.81
2042,8.82,0.78,0.34,9.94
2043,9.03,0.76,0.33,10.12
2044,9.00,0.74,0.32,10.06
