Renishaw plc Pension Scheme - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2025

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2026,6.97,0.75,0.33,8.05
2027,6.89,0.75,0.34,7.98
2028,7.38,0.72,0.35,8.45
2029,7.32,0.78,0.35,8.45
2030,7.30,0.76,0.34,8.41
2031,7.36,0.79,0.32,8.47
2032,7.83,0.71,0.34,8.89
2033,7.60,0.77,0.36,8.73
2034,7.79,0.80,0.37,8.96
2035,7.89,0.74,0.33,8.96
2036,8.24,0.75,0.36,9.34
2037,8.10,0.77,0.36,9.23
2038,8.19,0.74,0.37,9.31
2039,8.31,0.72,0.32,9.35
2040,8.67,0.72,0.33,9.72
2041,8.77,0.72,0.34,9.83
2042,8.69,0.71,0.36,9.75
2043,8.97,0.74,0.35,10.06
2044,8.97,0.80,0.37,10.14
2045,9.25,0.76,0.35,10.35
