Renishaw plc Pension Scheme - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2021

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2022,6.66,0.69,0.30,7.65
2023,6.60,0.72,0.31,7.62
2024,7.02,0.72,0.30,8.04
2025,7.05,0.77,0.31,8.13
2026,6.98,0.72,0.32,8.03
2027,7.27,0.73,0.35,8.35
2028,7.44,0.75,0.33,8.52
2029,7.26,0.76,0.35,8.36
2030,7.46,0.72,0.33,8.51
2031,7.57,0.67,0.31,8.55
2032,7.51,0.71,0.32,8.54
2033,7.64,0.68,0.30,8.62
2034,7.89,0.68,0.35,8.92
2035,8.00,0.76,0.32,9.09
2036,7.94,0.75,0.34,9.02
2037,8.31,0.75,0.32,9.37
2038,8.43,0.74,0.34,9.51
2039,8.25,0.71,0.35,9.32
2040,8.70,0.77,0.31,9.77
2041,8.68,0.76,0.35,9.79
