Renishaw plc Pension Scheme - 20-year Cashflow Projection (GBP m)
Projection Date: 31/03/2022

Year,Pensions in Payment,Lump Sums,Transfers Out,Total Outgo
2023,6.88,0.78,0.31,7.97
2024,6.85,0.75,0.34,7.95
2025,7.06,0.70,0.31,8.07
2026,7.24,0.77,0.32,8.33
2027,7.39,0.74,0.34,8.47
2028,7.20,0.71,0.35,8.26
2029,7.47,0.73,0.35,8.54
2030,7.36,0.74,0.31,8.40
2031,7.76,0.70,0.32,8.78
2032,7.92,0.72,0.32,8.96
2033,7.72,0.76,0.31,8.78
2034,7.80,0.74,0.33,8.86
2035,7.94,0.75,0.32,9.02
2036,8.31,0.73,0.35,9.40
2037,8.11,0.76,0.31,9.19
2038,8.26,0.78,0.36,9.40
2039,8.45,0.76,0.35,9.57
2040,8.62,0.71,0.31,9.65
2041,8.82,0.74,0.35,9.91
2042,8.65,0.70,0.33,9.68
